run,outcome,solver_status,feasible,M_T,phaseout_t,K_max_total,L_R,r,C_E,C_A,obj_raw
0,success,failed,True,300000000.0010841,0.0,14811810.178271044,130.63392883012395,0.1841758909526053,100986584.84197035,9656018.640442437,1194398348349617.5
1,success,failed,True,299999999.9901308,1.5,14483991.780504303,119.47604515210249,0.1865911706239488,101011150.11743209,10208072.577796046,171209442337510.44
2,success,failed,True,299999998.29171824,0.0,14280876.741443703,130.8738731520249,0.18598396753440757,97123391.10678276,9681824.9672071,150899447153766.72
3,success,failed,True,299994947.2092415,0.0,14525106.76478015,122.55302803699422,0.18044561576938029,99319450.18642116,9791229.140198043,136756503453136.25
4,success,failed,True,300000000.00016606,0.0,15167779.34208357,120.49367325815052,0.1762586036736339,98663618.43293692,9956069.984217037,402408358329891.8
5,no_phaseout,failed,True,299999207.6565862,,15427763.94208952,121.24592227697948,0.180256219891445,100924145.68862043,9546450.412719999,62328136852998.59
6,success,failed,True,300000000.00055337,0.0,15161317.277852157,120.88155154609113,0.172170928673735,104488855.37253334,10465632.03307456,167752171476152.16
7,success,failed,True,299999892.6076136,0.0,15462596.02217469,122.55767211466713,0.1727580980521149,101842330.26512158,9940152.493739601,600858115629041.2
8,success,failed,True,299999999.9998332,0.0,14433057.352267168,124.93971137639087,0.17161899338007391,104093204.02078784,9758779.981600016,131585852493846.5
9,success,failed,True,299742108.85578585,0.0,15243783.426530974,122.64638845111764,0.18036122438120059,100467102.7934328,9684854.455525527,556621159651058.8
10,success,failed,True,300000000.00007457,0.0,15704376.941646839,128.43916029201392,0.1879109809481554,103948273.50427648,10097899.978811085,262587700612809.62
11,success,failed,True,224391267.28309968,2.5,15632811.352534674,119.856156275649,0.1745276915235446,95452272.88910536,9825330.330763264,1318111534077023.8
12,success,failed,True,299999943.3333566,0.0,14833015.934534222,122.1418628971737,0.18591727516473475,98567533.26693588,9780934.50968738,295111715076018.5
13,success,failed,True,299999637.72510225,0.0,15064044.124737373,120.51155281218453,0.1854395456535727,95745506.4367977,10486886.936600517,736677054822016.6
14,success,failed,True,299999990.39851296,6.0,15408367.153944986,121.23394601917715,0.17109939810822483,103154614.28454836,10206857.343847618,310108121678933.0
15,success,failed,True,300000000.00002956,0.0,15343510.75206148,128.39087933357433,0.17233280373121362,98584657.28544272,9615869.05952513,339135261229880.25
16,success,failed,True,299792103.10961366,23.5,15544655.13881339,126.54122658534448,0.17695616444734769,95635583.50286023,9810982.321715662,299703285677182.8
17,success,failed,True,299999995.676852,0.0,14737774.98304012,127.8700772292258,0.18247603448439384,103872127.42576326,9972214.92516195,152797490441444.78
18,no_phaseout,failed,True,299997858.7426865,,14429391.368907452,127.66555984028743,0.18469413087510417,100612771.97569495,10270967.179954562,65335821969749.31
19,success,failed,True,300000000.00011015,0.0,14990693.394546587,125.28416036727494,0.17869573833045388,95254191.26744094,9607891.426993303,178863996887949.97
20,no_phaseout,failed,True,299991164.2169503,,14297143.7785301,126.70513014079727,0.17665840765937388,100085706.91164702,10407566.473926093,58920718523107.49
21,success,failed,True,299999999.9568555,0.0,14623938.343723312,123.87978653794538,0.18459992049377488,97287981.65491623,9576979.909828791,868165774907366.4
22,success,failed,True,300000000.0000923,2.0,14684627.179370651,120.76526609067504,0.18773455774216632,103081203.79564418,10133403.756510423,488129208798865.7
23,success,failed,True,300000000.00009906,0.0,15557190.885281576,128.79590096123894,0.17435826105994864,103925589.98489977,10039342.241915649,250920136703246.66
24,success,failed,True,299999918.53739357,0.5,15461160.232746094,129.95114124904367,0.17672406254949355,96100519.24527676,9727935.162541943,166435091025550.75
